judge,INT2
D. Price Marshall Jr.,290.8685446
Dabney L. Friedrich,0
Dale A. Drozd,655.7142857
Dale A. Kimball,441.9960836
Dale E. Saffels,490
Dale S. Fischer,473.2448718
Dan A. Polster,404.271639
Dana L. Christensen,421.3227513
Dana Sabraw,310.7414418
Daniel B. Sparr,325.5769231
Daniel D. Crabtree,448.4750733
Daniel L. Hovland,434.8855548
Daniel Porter Jordan III,317.9559748
Daniel R. Dominguez,406.0755442
Daniel T. K. Hurley,430.5985577
Danny C. Reeves,425.5444526
Darrin P. Gayles,361.5560641
David A. Katz,215.5186567
David Alan Ezra,366.7361111
David Briones,503.5162129
David C. Bramlette,382.9615385
David C. Bury,413.4966518
David C. Norton,229.4012121
David Campos Guaderrama,418.189415
David Dudley Dowd Jr.,364.4131455
David F. Levi,411.9020979
David Folsom,302.2943548
David G. Campbell,285.8143532
David G. Larimer,143.9758673
David G. Trager,480.8680851
David Gregory Kays,318.1651376
David J. Hale,471.092437
David Kent Winder,458.3903743
David L. Bunning,408.0352113
David M. Lawson,429.9403226
David McKeague,373.7297297
David N. Hurd,333.3162685
David Nuffer,474.77842
David O. Carter,449.8985507
David R. Herndon,399.0801964
David S. Cercone,256.1886792
David S. Doty,349.6100279
David Sam,406.151277
David Warner Hagen,322.6941176
Dean D. Pregerson,410.6349745
Dean Whipple,306.8468468
Deborah Batts,505.1634615
Deborah K. Chasanow,537.7789364
Debra M. Brown,474.173913
Dee Benson,451.9111239
Dee D. Drell,351.1296296
Denis Reagan Hurley,399.5816619
Denise Cote,267.2509881
Denise J. Casper,219.9148936
Denise Page Hood,438.7839388
Dennis M. Cavanaugh,160.0436137
Dennis Shedd,372.5
Denny Chin,372.7155689
Derrick Watson,430.8928571
Diane Humetewa,328.9222615
Dickinson Richards Debevoise,206.0707071
Dolly M. Gee,424.8684211
Dominic J. Squatrito,306.4848485
Dominic W. Lanza,0
Donald C. Coggins Jr.,300
Donald C. Nugent,371.5587248
Donald Ellsworth Walter,305.1864407
Donald Emil Ziegler,250
Donald Eugene O'Brien,408.5458015
Donald J. Lee,355.5555556
Donald J. Stohr,333.3866667
Donald L. Graham,435.2967442
Donald M. Middlebrooks,401.3815064
Donald W. Molloy,422.5623131
Donetta W. Ambrose,275.7103825
Donovan W. Frank,353.4641509
Dora Irizarry,400.1377953
Douglas L. Rayes,366.6473988
Douglas P. Woodlock,290.804428
Dudley Hollingsworth Bowen Jr.,380.5986079
Duross Fitzpatrick,269.0689655
E. Richard Webber,245.6055509
Earl H. Carroll,204.1823708
Edgardo Ramos,494.1129032
Edith Brown Clement,433.3333333
Edmund A. Sargus Jr.,243.6701847
Edmund V. Ludwig,281.0555556
Edward C. Prado,478.8317757
Edward Cornelius Reed Jr.,438.5193133
Edward Davila,630.1486989
Edward F. Harrington,337.1276596
Edward F. Shea,443.480226
Edward G. Smith,349.7674419
Edward Huggins Johnstone,438
Edward J. Garcia,556.6061947
Edward Joseph McManus,385
Edward Lodge,351.9221204
Edward M. Chen,607.1910112
Edward Nottingham,402.9473684
Edward R. Korman,430.75
Edward Rafeedie,462.7904192
Edwin L. Nelson,336.875
Edwin Michael Kosik,307.7568493
Eldon Brooks Mahon,670
Eldon E. Fallon,360.1744186
Eleanor Louise Ross,269.453125
Elizabeth A. Kovachevich,357.0987755
Elizabeth A. Wolford,158.9142857
Elizabeth Erny Foote,310.5757576
Elizabeth K. Dillon,391.5789474
Ellen Bree Burns,235.5905172
Ellen Lipton Hollander,618.6287625
Ellen Segal Huvelle,208.8289963
Emily Coody Marks,182.8571429
Emmet G. Sullivan,243.6818182
Eric F. Melgren,576.9764012
Eric N. Vitaliano,376.5878378
Esther Salas,126.5198238
Eugene Nickerson,380
F. A. Little Jr.,273.9534884
F. Dennis Saylor IV,254.5581395
Faith S. Hochberg,179.6103896
Falcon Black Hawkins Jr.,133.3333333
Federico A. Moreno,328.6309192
Fern M. Smith,207.6666667
Fernando J. Gaitan Jr.,286.7889908
Fernando M. Olguin,495.3225806
Florence-Marie Cooper,415.0848057
Francisco Besosa,380.7309322
Frank Burgess,405.03125
Frank C. Damrell Jr.,451.056962
Frank DeArmon Whitney,324.3266932
Frank Harlan Freedman,361.6428571
Frank Howell Seay,289.617284
Frank Joseph Polozola,382.3664596
Frank Montalvo,511.0801598
Frank Paul Geraci Jr.,151.6666667
Frank R. Zapata,409.7911227
Franklin Van Antwerpen,243.1818182
Freda L. Wolfson,179.4843049
Frederic Block,375.7435897
Frederic N. Smalkin,345.3703704
Frederick J. Martone,225.8501209
Frederick Pfarr Stamp Jr.,298.2168525
Frederick Scullin,390.4261006
G. Kendall Sharp,451.3423181
G. Murray Snow,310.5275362
G. Patrick  Murphy,416.3506494
Garland Ellis Burrell Jr.,584.5028441
Garnett Thomas Eisele,226.1792453
Garrett E. Brown Jr.,151.0042735
Gary A. Fenner,293.2230374
Gary Allen Feess,490.4424779
Gary L. Lancaster,325.5
Gary L. Sharpe,268.4953704
Gary L. Taylor,447.5
Gene Carter,269.8387097
Gene E. K. Pratter,410.9921671
Geoffrey W. Crawford,378.1118881
George A. O'Toole Jr.,300.6809605
George B. Daniels,460.1847134
George Caram Steeh III,366.0457143
George Curtis Smith,183.2625369
George Ernest Tidwell,345.8
George H. King,365.6742671
George Howard Jr.,185.695122
George J. Hazel,635.7058824
George Levi Russell III,622.5225225
George P. Schiavelli,350.2352941
George Ross Anderson Jr.,367.0078947
George Z. Singal,239.2239186
Gerald Austin McHugh Jr.,387.9032258
Gerald Bruce Lee,205.7520833
Gerald Ellis Rosen,424.7060606
Gerard E. Lynch,344.2333333
Gershwin A. Drain,448.3870968
Gina Marie Groh,415.9477124
Gladys Kessler,261.2580645
Glen E. Conrad,468.6662162
Glen H. Davidson,380.9001996
Glen Morgan Williams,385.3636364
Glenn T. Suddaby,315.1318458
Gloria Navarro,514.2521368
Gonzalo P. Curiel,298.2972136
Gordon Jay Quist,416.6615385
Gordon Thompson Jr.,313.8166244
Graham Calder Mullen,362.0753012
Gregory A. Presnell,493.7584345
Gregory Howard Woods,357.2815534
Gregory Kent Frizzell,359.5374801
Gregory L. Frost,208.0996885
Gregory M. Sleet,373.3921053
Gregory N. Stivers,372.6630435
Gregory Van Tatenhove,416.8878719
Gustave Diamond,353.1926606
Gustavo GelpÃ­,300.5448718
H. Dale Cook,369.6034483
H. Dean Buttram Jr.,291.1111111
H. Russel Holland,250.3468208
Halil Suleyman Ozerden,315.7295374
Harold A. Baker,399.5744681
Harold Arnold Ackerman,98.19444444
Harold Baer Jr.,359.2352941
Harold Brent McKnight,420.625
Harold Duane Vietor,326.232
Harold Lloyd Murphy,348.1535088
Harry F. Barnes,367.862069
Harry Lee Hudspeth,420.7392996
Harry Lindley Hupp,840
Harry Sandlin Mattice Jr.,518.2580645
Harvey Bartle III,370.7186761
Harvey E. Schlesinger,401.171521
Haywood Gilliam,618.4745763
Helen Ginger Berrigan,424.9346405
Henry Coke Morgan Jr.,292.6327769
Henry E. Hudson,411.5482337
Henry Edward Autrey,201.8631427
Henry Franklin Floyd,326.2361624
Henry H. Kennedy Jr.,203.6210526
Henry Lee Adams Jr.,338.0363636
Henry Michael Herlong Jr.,350.3834511
Henry Rupert Wilhoit Jr.,255.1428571
Henry Travillion Wingate,385.7950664
Henry Woods,100
Herman Jacob Weber,117.2165605
Hipolito Frank Garcia,625
Holly Lou Teeter,490
Howard D. McKibben,431.590985
Howard F. Sachs,265.0022962
Howard G. Munson,359
Howard Matz,401.5904762
Howell Cobb,320.745098
Howell W. Melton,191.2637363
Hugh Lawson,122.2914747
Indira Talwani,199.8507463
Inge Prytz Johnson,299.8841608
Irma Elsa Gonzalez,319.0426136
Israel Leo Glasser,397.9834559
Ivan L. R. Lemelle,415.334728
J. Curtis Joyner,416.5257985
J. Daniel Breen,429.9369963
J. Frederick Motz,541.6098191
J. Michelle Childs,295.9584296
J. Owen Forrester,364.8205128
J. Paul Oetken,314.9056604
J. Ronnie Greer,422.7746032
J. Thomas Marten,566.9865643
Jack B. Weinstein,432.9137577
Jack D. Shanstrom,392.9458333
Jack Edward Tanner,353.4615385
Jack Tarpley Camp Jr.,345.2209302
Jack Zouhary,201.7156863
Jackson L. Kiser,483.2199546
Jacob Mishler,296.6
James A. Beaty Jr.,319.8230885
James A. Teilborg,261.109215
James Alan Soto,427.5184017
James Aubrey Parker,151.802139
James C. Cacheris,211.5426497
James C. Mahan,469.9328783
James Carriger Paine,444.3947368
James Clinton Turk,371.129683
James D. Peterson,212.9816514
James D. Whittemore,486.7912973
James Dale Todd,476.0652174
James Donato,613.6363636
James E. Boasberg,205.9756098
James E. Gritzner,292.4139918
James E. Shadid,459.9176277
James Focht McClure Jr.,374.544
James G. Carr,281.7922794
James H. Payne[Note 1],327.5
James Harry Michael Jr.,415
James Howard Jarvis II,155
James Hughes Hancock,355.371179
James I. Cohn,358.0756757
James J. Brady,366.8553971
James K. Bredar,629.2879747
James Keith Singleton Jr.,25.24271845
James Knoll Gardner,324.2162162
James L. Foreman,474.1176471
James L. Graham,236.6645265
James Lawrence King,500.0448934
James Leon Holmes,250.7568438
James M. Rosenbaum,433.3838863
James Martin Fitzgerald,0
James Martin Munley,341.812844
James Maxwell Moody,223.5878049
James O. Browning,260
James Parker Jones,396.957352
James Patrick Hanlon,30
James R. Spencer,445.5420945
James R. Sweeney II,422.2222222
James Randal Hall,428.5837438
James Robart,371.5946349
James Robertson,349.4418605
James Robertson Nowlin,424.5954198
James Rodney Gilstrap,333.4883721
James S. Moody Jr.,509.2904468
James Travis Trimble Jr.,157.5
James Tyne Moody,283.8267091
James Ware,529.4743935
Jane Magnus-Stinson,376.3671875
Janet Bond Arterton,276.7775551
Janet C. Hall,251.3550088
Janet T. Neff,399.535865
Janis Lynn Sammartino,273.8624642
Jay C. Zainey,441.1910112
Jay Waldman,328
Jean Constance Hamilton,246.1033852
Jeanne E. Scott,372.547993
Jed S. Rakoff,320.4153005
Jeff Beaverstock,236
Jeffrey A. Meyer,274.4186047
Jeffrey J. Helmick,315.4491018
Jeffrey L. Schmehl,405.9090909
Jeffrey L. Viken,344.2698192
Jeffrey White,599.25
Jennifer A. Dorsey,521.584507
Jennifer B. Coffman,364.537961
Jennifer Zipps,426.382755
Jeremy D. Kernodle,286.25
Jeremy Fogel,541.9472362
Jerome B. Friedman,305.2188366
Jerome B. Simandle,148.1428571
Jerry Pappert,381.2328767
Jesse M. Furman,333.4391534
Jesus G. Bernal,460.5
Jill Parrish,525.9390863
Jimm Larry Hendren,406.0167428
Joan A. Lenard,382.1962677
Joan Azrack,179.4915254
Joan N. Ericksen,368.0541237
Joanna Seybert,346.9473684
Joe Billy McDade,401.5689655
Joel A. Pisano,196.0081301
Joel Harvey Slomsky,408.9949749
John A. Gibney Jr.,412.3076923
John A. Houston,307.4296435
John A. Kronstadt,501.3257576
John A. Mendez,658.8888889
John A. Woodcock Jr.,230.1716247
John Alfred Jarvey,253.5384615
John Andrew Ross,146.1111111
John Antoon II,474.8140442
John Bailey Jones,146
John C. Coughenour,358.9988877
John C. Lifland,202.4603175
John C. Shabaz,275.7513812
John Corbett O'Meara,450.1757426
John D. Bates,190.7744681
John Daniel Tinder,36.06741573
John David Holschuh,142.8918919
John E. Dowdell,397.257384
John E. Jones III,299.745509
John E. Sprizzo,302.1630435
John E. Steele,503.338685
John Edwards Conway,156.2774949
John F. Keenan,323.8129676
John F. Walter,344.8653555
John Feikens,414.1666667
John G. Heyburn II,488.7352941
John G. Koeltl,284.2208835
John Garrett Penn,66.875
John Garvan Murtha,366.9311927
John Gleeson,377.970894
John H. Moore II,330
John J. McConnell Jr.,402.3472669
John Joseph Tuchi,333.083779
John L. Kane Jr.,374.2578125
John M. Gerrard,381.0900474
John Michael Manos,250
John Michael Seabright,344.4542773
John Michael Vazquez,107.0588235
John Phil Gilbert,419.1121764
John Preston Bailey,371.9062027
John R. Adams,409.6123482
John R. Tunheim,402.984
John Roll,389.7043036
John S. Martin Jr.,201.2884615
John Spencer Letts,403.8275862
John T. Elfvin,126.852381
John Thomas Fowlkes Jr.,484.3375681
John Thomas Greene Jr.,445.0634921
John Victor Parker,331.0111111
John W. Broomes,624.2857143
John W. Lungstrum,513.9657854
John W. Sedwick,190.2621723
John Winslow Bissell,204.1414141
Jon D. Levy,204.8387097
Jon DeGuilio,286.52
Jon Phipps McCalla,276.4822006
Jon S. Tigar,610
Jose Alejandro Gonzalez Jr.,453.6666667
Jose E. Martinez,391.116485
Jose L. Linares,150.0414079
Joseph A. Diclerico Jr.,475.229202
Joseph A. Greenaway Jr.,182.5089286
Joseph Eron Irenas,96.91935484
Joseph F. Bataillon,411.3985577
Joseph F. Bianco,291.2435233
Joseph F. Leeson Jr.,340.6666667
Joseph Fletcher Anderson Jr.,202.4789916
Joseph H. McKinley Jr.,438.5099404
Joseph H. Rodriguez,85.34718101
Joseph James Farnan Jr.,325.2885906
Joseph L. Tauro,306.1851852
Joseph Martin Hood,438.3263773
Joseph Normand Laplante,533.0791789
Joseph Peter Stadtmueller,459.5296331
Josephine L. Staton,446.1956522
JosÃ© A. FustÃ©,371.2076023
Joy Flowers Conti,385.8727858
Joyce Hens Green,50
Judith C. Herrera,173.9150142
Judith Ellen Levy,473.7234043
Julia Smith Gibbons,274.3076923
Julian Abele Cook Jr.,468.1860465
Julie A. Robinson,510.3069658
Julie E. Carnes,304.7083333
Justin Lowe Quackenbush,546.7017544
Karen K. Caldwell,456.1249076
Karen Schreier,392.9500342
Karl Spillman Forester,391.255914
Karon O. Bowdre,316.5357968
Katharine Sweeney Hayden,204.037037
Katherine B. Forrest,359.2248062
Katherine Polk Failla,364.7916667
Kathleen Cardone,503.4373019
Kathleen M. O'Malley,303.2393162
Kathleen M. Williams,443.3943428
Kathryn H. Vratil,496.4150943
Keith Starrett,340.9875
Kenneth M. Karas,338.3428571
Kenneth Marra,395.5
Kenneth Ryskamp,442.0280778
Kent A. Jordan,342.2352941
Kent Dawson,468.5952891
Ketanji Brown Jackson,162.6923077
Kevin McNulty,105.1572327
Kevin Michael Moore,391.4203864
Kevin Thomas Duffy,393.1294118
Kim R. Gibson,197.5923913
Kimba Wood,350.4792899
Kimberly J. Mueller,664.3598616
Kiyo A. Matsumoto,365.3380783
Kristi DuBose,228.5678808
Kristine G. Baker,228.1338028
Kurt D. Engelhardt,404.3697479
L. Scott Coogler,328.7243187
LaShann DeArcy Hall,338.2608696
Lacy Thornburg,317.7912088
Lance M. Africk,471.9315895
Landya B. McCafferty,524.9350649
Larry Alan Burns,312.313772
Larry J. McKinney,129.8370672
Larry R. Hicks,458.8621622
Laura Taylor Swain,308.9125
Laurie J. Michelson,443.1
Laurie Smith Camp,401.1747573
Lawrence E. Kahn,295.9509595
Lawrence J. Vilardo,202.8455285
Lawrence Joseph O'Neill,641.1595639
Lawrence K. Karlton,512.8729017
Lawrence L. Piersol,243.7072019
Lawrence M. McKenna,316.4655172
Lawrence Paul Zatkoff,462.4870466
Legrome D. Davis,357.4863014
Leigh Martin May,381.6788321
Leo T. Sorokin,128.6046512
Leonard B. Sand,313.5820896
Leonard D. Wexler,411.6557971
Leonard P. Stark,380.1775148
Leonard Terry Strand,391.0631229
Leonie Brinkema,223.6409904
Leslie Abrams Gardner,23.77622378
Leslie E. Kobayashi,341.5277778
Lewis A. Kaplan,301.3529412
Lewis Thornton Babcock,392.2690513
Liam O'Grady,228.0178174
Liles C. Burke,160
Linda R. Reade,414.4548036
Linda Vivienne Parker,501.0240964
Lisa Godbey Wood,408.3397683
Lloyd D. George,439.1459227
Lonny R. Suko,484.5929339
Loretta A. Preska,376.1717557
Loretta Copeland Biggs,356.6929134
Lorna G. Schofield,395.7462687
Louis Guirola Jr.,338.7103659
Louis L. Stanton,108
Lourdes Gillespie Baird,413.9878049
Lucy Koh,625.1838235
Luis Felipe Restrepo,333.3333333
Lyle Elmer Strom,399.763587
Lyonel Thomas Senter Jr.,100
M. Christina Armijo,187.5681124
M. Douglas Harpool,347.8787879
M. Hannah Lauck,451.6814159
Madeline Cox Arleo,139.2307692
Madeline Hughes Haikala,373.3333333
Mae D'Agostino,232.2083333
Malachy E. Mannion,325.1282051
Malcolm Muir,299.5794393
Marc Thomas Treadwell,23.82198953
Marcel Livaudais Jr.,290
Marcia A. Crone,270.8756567
Marcia G. Cooke,421.6183206
Marcia Morales Howard,385.7219973
Marcia S. Krieger,359.6551326
Margaret B. Seymour,219.6951819
Margaret Catharine Rodgers,366.1172161
Margaret M. Morrow,470.964486
Margo Kitsy Brodie,425.3947368
Marianne O. Battani,440.7074148
Marilyn Hall Patel,555.3962264
Mark A. Goldsmith,408.66171
Mark A. Kearney,251.2857143
Mark Fuller,249.2251816
Mark G. Mastroianni,243.7962963
Mark Howard Cohen,309.1666667
Mark L. Wolf,272.3852632
Mark R. Hornak,301.3492063
Mark R. Kravitz,183.8202247
Mark Steven Davis,286.519174
Mark W. Bennett,390.1837672
Marsha J. Pechman,380.3751783
Martha VÃ¡zquez,227.1488748
Martin Jenkins,484.1553398
Martin Leach-Cross Feldman,422.6884532
Marvin Herman Shoob,418.9349112
Marvin J. Garbis,549.9747292
Marvin Katz,258.0555556
Mary A. McLaughlin,353.0625
Mary Geiger Lewis,237.8
Mary H. Murguia,209.5610913
Mary Little Cooper,168.0485714
Mary Stenson Scriven,549.3410853
Matthew Frederick Leitman,492.8571429
Matthew James Perry Jr.,190.5932203
Matthew W. Brann,186.2585034
Maurice Blanchard Cohill Jr.,263.2748815
Max O. Cogburn Jr.,303.252551
Maxine M. Chesney,538.2975779
Michael A. Shipp,97.95454545
Michael Anthony Telesca,232.1935484
Michael F. Urbanski,414.9869452
Michael H. Schneider Sr.,272.7107652
Michael H. Watson,268.373591
Michael J. Davis,384.4170561
Michael Joseph Melloy,262.5217391
Michael Joseph Reagan,380.3533225
Michael Lawrence Brown,447.1428571
Michael M. Anello,278.5153129
Michael M. Baylson,404.2974359
Michael M. Mihm,375.8385236
Michael Mukasey,276.0526316
Michael P. McCuskey,413.5954198
Michael P. Mills,405.1491124
Michael P. Shea,355.4421769
Michael Ponsor,329.8903226
Michael Ryan Barrett,409.3897638
Michael W. Fitzgerald,517.9904306
Milton Lewis Schwartz,410
Miranda Du,518.8108108
Miriam Goldman Cedarbaum,299.6551724
Mitchell S. Goldberg,395.1801802
Monti L. Belot,564.643436
Morrison C. England Jr.,617.489603
Myron Donovan Crocker,396
Myron Herbert Thompson,237.4477419
Nancy  Gertner,368.7165354
Nancy D. Freudenthal,215.1313131
Nancy Garlock Edmunds,449.7637195
Nancy J. Rosenstengel,326.3348416
Nancy Torresen,212.2702703
Nanette Kay Laughrey[Note 1],293.5354691
Nannette Jolivette Brown,448
Naomi Reice Buchwald,343.2738095
Nathaniel M. Gorton,270.9694397
Neal Brooks Biggers Jr.,383.1730769
Neal Peters McCurn,175
Neil V. Wake,299.0636042
Nelson S. Roman,319
Nicholas Garaufis,462.8966942
Nicholas H. Politan,302.3076923
Nina Gershon,387.6426966
Nitza I. QuiÃ±ones Alejandro,390.1204819
Noel Lawrence Hillman,161.5384615
Nora Barry Fischer,271.0755149
Norman A. Mordue,357.3785714
Norman Charles Roettger Jr.,373
Norman K. Moon,400.301769
Norwood Carlton Tilley Jr.,346.9303202
Oliver Winston Wanger,531.7598566
Orinda Dale Evans,390.6654457
Orlando Luis Garcia,545.2170316
Ortrie D. Smith,299.2212978
Otis D. Wright II,412.7920792
P. Kevin Castel,365.7505285
Pamela K. Chen,383.0645161
Pamela L. Reeves,376.4907652
Pamela Pepper,440.4166667
Patricia A. Seitz,426.5051546
Patricia Anne Gaughan,392.1604478
Patricia C. Fawsett,491.7674419
Patricia Head Minaldi,387.7850288
Patrick Anthony Conmy,336.7972028
Patrick J. Duggan,384.1860465
Patrick J. Schiltz,371.8473896
Patrick Michael Duffy,207.3876872
Patti B. Saris,262.5168067
Paul A. Crotty,474.0372671
Paul A. Engelmayer,331.160221
Paul A. Magnuson,344.4648956
Paul D. Borman,443.8834586
Paul G. Byron,578.2488479
Paul G. Cassell,461.6492754
Paul G. Gardephe,318.2509506
Paul Gerhardt Rosenblatt,238.3419283
Paul Huck,357.381535
Paul J. Barbadoro,507.0775656
Paul K. Holmes III,476.4935065
Paul L. Friedman,287.872428
Paul Lewis Maloney,397.9555967
Paul Neeley Brown,177.3966942
Paul Ramon Matia,358.5625
Paul V. Gadola,416.8423423
Paul W. Grimm,619.2893401
Paula Xinis,622.7777778
Percy Anderson,389.9503012
Peter C. Economus,338.084507
Peter Collins Dorsey,239.3333333
Peter G. Sheridan,148.7345679
Peter Jo Messitte,512.28
Peter K. Leisure,445
Petrese B. Tucker,419.0855263
Philip A. Brimmer,369.2473118
Philip Martin Pro,410.0055249
Philip P. Simon,312.2077922
Philip Ray Martinez,415.6372741
Philip S. Gutierrez,417.0917226
Phillip S. Figa,477.3913043
Phyllis Jean Hamilton,574.0337423
R. Brooke Jackson,397.4
R. David Proctor,344.6052632
R. Gary Klausner,458.128882
Ralph E. Tyson,394.1764706
Ralph R. Beistline,297.6115486
Ralph R. Erickson,344.3863198
Ralph Wilson Nimmons Jr.,474.8269231
Randolph Moss,81.25
Raner Collins,411.0418828
Raymond Alvin Jackson,308.3385892
Raymond J. Dearie,413.8715891
Raymond L. Finch,269.4247788
Rebecca Beach Smith,329.6044199
Rebecca F. Doherty,361.3862661
Rebecca Goodgame Ebinger,238.372093
Rebecca Grady Jennings,515.8333333
Reena Raggi,251.9272727
Reggie Walton,203.4847458
Reginald C. Lindsay,351.9866667
Renee Marie Bumb,122.8417266
Ricardo M. Urbina,241.6339286
Ricardo S. Martinez,388.7310345
Richard A. Jones,334.1916168
Richard A. Lazzara,446.7649363
Richard A. Schell,319.4069549
Richard Alan Enslen,390.1136364
Richard Barclay Surrick,391.0555556
Richard C. Casey,338.9896907
Richard D. Bennett,605.6905901
Richard Dean Rogers,527.2696246
Richard Everett Dorr,381.8161435
Richard F. Cebull,437.8509719
Richard Franklin Boulware II,462.8089888
Richard G. Andrews,349.1411043
Richard G. Kopf,398.2372357
Richard G. Stearns,286.3800475
Richard H. Kyle,375.6287554
Richard Howard Battey,421.7751479
Richard J. Holwell,295.390625
Richard J. Leon,243.0392157
Richard J. Sullivan,363.8520408
Richard Joseph Arcara,177.798752
Richard L. Young,247.2361809
Richard Leroy Williams,397.55
Richard Lesley Voorhees,346.5074184
Richard M. Berman,335.7900208
Richard Mark Gergel,189.6232877
Richard Owen,337.2941176
Richard Paul Conaboy,277.0965909
Richard Paul Matsch,447.6117021
Richard T. Haik,325.0746667
Richard W. Roberts,178.7
Richard W. Story,365.3051031
Robert A. Junell,515.2798271
Robert Allan Edgar,447.5
Robert B. Kugler,197.4722793
Robert Bruce Propst,288.1967213
Robert Bryan Harwell,212.2792262
Robert C. Broomfield,267.8947368
Robert Clive Jones,483.0556439
Robert D. Mariani,264.0495868
Robert E. Blackburn,363.8356574
